full_name,topics
StackStorm/st2,python
StackStorm/st2,stackstorm
StackStorm/st2,devops
StackStorm/st2,deployment
StackStorm/st2,cicd
StackStorm/st2,automation
StackStorm/st2,auto-remediation
StackStorm/st2,st2
StackStorm/st2,workflows
StackStorm/st2,chatops
StackStorm/st2,ifttt
StackStorm/st2,sre
markovmodel/adaptivemd,python
markovmodel/adaptivemd,markov-model
markovmodel/adaptivemd,hpc
markovmodel/adaptivemd,adaptive
markovmodel/adaptivemd,molecular-dynamics-simulation
ornladios/ADIOS2,adios
ornladios/ADIOS2,cmake
ornladios/ADIOS2,exascale-computing
ornladios/ADIOS2,hdf5
ornladios/ADIOS2,hpc
ornladios/ADIOS2,io
ornladios/ADIOS2,ecp
ornladios/ADIOS2,exascale
ornladios/ADIOS2,high-performance-computing
aiidateam/aiida-core,aiida
aiidateam/aiida-core,workflow
aiidateam/aiida-core,workflow-engine
aiidateam/aiida-core,provenance
aiidateam/aiida-core,database
aiidateam/aiida-core,ssh
aiidateam/aiida-core,scheduler
aiidateam/aiida-core,data-provenance
aiidateam/aiida-core,workflows
aiidateam/aiida-core,computational-science
apache/airavata,airavata
apache/airavata,java
apache/airavata,sciencegateways
apache/airavata,gateways
apache/airavata,cloudnative
apache/airavata,microservices
apache/airavata,workfloworchestrator
apache/airavata,workflow
apache/airavata,bigdata
apache/airflow,airflow
apache/airflow,apache
apache/airflow,apache-airflow
apache/airflow,python
apache/airflow,scheduler
apache/airflow,workflow
apache/airflow,hacktoberfest
alibaba/Alink,machine-learning
alibaba/Alink,flink
alibaba/Alink,classification
alibaba/Alink,clustering
alibaba/Alink,regression
alibaba/Alink,graph-algorithms
alibaba/Alink,xgboost
alibaba/Alink,recommender
alibaba/Alink,recommender-system
alibaba/Alink,feature-engineering
alibaba/Alink,statistics
alibaba/Alink,kafka
alibaba/Alink,data-mining
alibaba/Alink,apriori
alibaba/Alink,word2vec
alibaba/Alink,flink-ml
alibaba/Alink,fm
alibaba/Alink,flink-machine-learning
alibaba/Alink,graph-embedding
Matts966/alphasql,bigquery
Matts966/alphasql,zetasql
Matts966/alphasql,typechecker
Matts966/alphasql,parallelization
Matts966/alphasql,graphviz
Matts966/alphasql,dot-language
Matts966/alphasql,datawarehouse
Matts966/alphasql,datawarehouseautomation
Matts966/alphasql,docker
Matts966/alphasql,workflow-automation
Matts966/alphasql,workflow-tool
Matts966/alphasql,pipeline-framework
Matts966/alphasql,dependency-graph
Matts966/alphasql,dependency-analysis
Matts966/alphasql,elt
Matts966/alphasql,cycle-detection
amundsen-io/amundsen,amundsen
amundsen-io/amundsen,metadata
amundsen-io/amundsen,data-catalog
amundsen-io/amundsen,data-discovery
amundsen-io/amundsen,linuxfoundation
biobakery/anadama2,biobakery
biobakery/anadama2,public
biobakery/anadama2,tools
biobakery/anadama2,python
intel-analytics/analytics-zoo,apache-spark
intel-analytics/analytics-zoo,deep-neural-network
intel-analytics/analytics-zoo,distributed-deep-learning
intel-analytics/analytics-zoo,keras-tensorflow
intel-analytics/analytics-zoo,bigdl
intel-analytics/analytics-zoo,analytics-zoo
intel-analytics/analytics-zoo,python
intel-analytics/analytics-zoo,scala
intel-analytics/analytics-zoo,pytorch
Angel-ML/angel,machine-learning
Angel-ML/angel,parameter-server
Angel-ML/angel,spark
Angel-ML/angel,scala
Angel-ML/angel,model
Angel-ML/angel,high-dimensional
Angel-ML/angel,online-learning
Angel-ML/angel,spark-streaming
artefactual/archivematica,digital-preservation
artefactual/archivematica,archivematica
argoproj/argo-workflows,workflow
argoproj/argo-workflows,kubernetes
argoproj/argo-workflows,argo
argoproj/argo-workflows,dag
argoproj/argo-workflows,knative
argoproj/argo-workflows,airflow
argoproj/argo-workflows,machine-learning
argoproj/argo-workflows,argo-workflows
argoproj/argo-workflows,workflow-engine
argoproj/argo-workflows,hacktoberfest
argoproj/argo-workflows,cloud-native
argoproj/argo-workflows,cncf
argoproj/argo-workflows,k8s
argoproj/argo-workflows,gitops
argoproj/argo-workflows,mlops
artigraph/artigraph,python
artigraph/artigraph,data
arvados/arvados,arvados
arvados/arvados,ruby
arvados/arvados,python
arvados/arvados,go
arvados/arvados,docker
arvados/arvados,cluster
arvados/arvados,cloud
arvados/arvados,cwl
arvados/arvados,bigdata
arvados/arvados,bioinformatics
arvados/arvados,genomics
arvados/arvados,workflow
arvados/arvados,aws
arvados/arvados,gcp
arvados/arvados,azure
arvados/arvados,workflow-engine
MG-RAST/AWE,awe
MG-RAST/AWE,shock
MG-RAST/AWE,workflow
MG-RAST/AWE,multi-cloud
MG-RAST/AWE,mg-rast
azkaban/azkaban,workflow-engine
azkaban/azkaban,azkaban
azkaban/azkaban,scheduling
azkaban/azkaban,hacktoberfest
big-data-processor/bd-processor,workflow-management-system
big-data-processor/bd-processor,data-workbench
big-data-processor/bd-processor,interactive-data-analysis
apache/beam,python
apache/beam,java
apache/beam,big-data
apache/beam,beam
apache/beam,batch
apache/beam,golang
apache/beam,sql
apache/beam,streaming
bentoml/BentoML,model-serving
bentoml/BentoML,model-deployment
bentoml/BentoML,model-management
bentoml/BentoML,ml-platform
bentoml/BentoML,ml-infrastructure
bentoml/BentoML,ai
bentoml/BentoML,machine-learning
bentoml/BentoML,aws-sagemaker
bentoml/BentoML,mlops
bentoml/BentoML,bentoml
bentoml/BentoML,kubernetes
bentoml/BentoML,deep-learning
bentoml/BentoML,inference-server
bentoml/BentoML,microservices
bentoml/BentoML,llmops
bentoml/BentoML,lmops
bentoml/BentoML,generative-ai
genouest/biomaj,python
genouest/biomaj,bioinformatics
genouest/biomaj,bioinformatics-data
genouest/biomaj,downloader
genouest/biomaj,open-source
evoldoers/biomake,workflows
evoldoers/biomake,makefiles
evoldoers/biomake,gnu-make
evoldoers/biomake,swi-prolog
evoldoers/biomake,prolog
evoldoers/biomake,bioinformatics
bionode/bionode-watermill,bionode
bionode/bionode-watermill,tool
bionode/bionode-watermill,pipeline
bionode/bionode-watermill,bioinformatics
bionode/bionode-watermill,nodejs
biopet/biopet,pipeline
biopet/biopet,gatk
biopet/biopet,workflow
biopet/biopet,scala
liyao001/BioQueue,bioinformatics-pipeline
liyao001/BioQueue,bioinformatics
pveber/bistro,ocaml
pveber/bistro,bioinformatics
pveber/bistro,computational-biology
pveber/bistro,workflow
pveber/bistro,pipeline
python-bonobo/bonobo,data-processing
python-bonobo/bonobo,extract-transform-load
python-bonobo/bonobo,bonobo
python-bonobo/bonobo,python3
python-bonobo/bonobo,automation
python-bonobo/bonobo,parallelization
onnovalkering/brane,containers
onnovalkering/brane,dsl
onnovalkering/brane,branescript
yakneens/butler,bioinformatics
yakneens/butler,cloud
yakneens/butler,workflow
yakneens/butler,python
yakneens/butler,docker
yakneens/butler,science
uber/cadence,uber
uber/cadence,cadence
uber/cadence,workflows
uber/cadence,orchestration-engine
uber/cadence,workflow-automation
uber/cadence,distributed-systems
uber/cadence,service-bus
uber/cadence,service-fabric
uber/cadence,services-platform
uber/cadence,golang
uber/cadence,java
cwensel/cascading,hadoop
cwensel/cascading,java
cwensel/cascading,mapreduce
cwensel/cascading,tez
mesos/chronos,chronos
mesos/chronos,mesos
mesos/chronos,job-scheduler
mesos/chronos,scheduled-jobs
mesos/chronos,fault-tolerance
mesos/chronos,cron
mesos/chronos,crontab
mesos/chronos,cron-jobs
mesos/chronos,mesos-framework
mesos/chronos,chronos-scheduler
mesos/chronos,mesosphere
ckan/ckan,python
ckan/ckan,open-data
ckan/ckan,data
ckan/ckan,catalog
ckan/ckan,api
ckan/ckan,ckan
ckan/ckan,ckanext
claimed-framework/component-library,data-science
claimed-framework/component-library,machine-learning
CSCLabTW/CloudDOE,cloud-computing
CSCLabTW/CloudDOE,mapreduce
CSCLabTW/CloudDOE,bioinformatics
CSCLabTW/CloudDOE,analysis
CSCLabTW/CloudDOE,deploy
CSCLabTW/CloudDOE,operate
CSCLabTW/CloudDOE,extend
genepi/cloudgene,cloudgene
genepi/cloudgene,hadoop
genepi/cloudgene,docker
genepi/cloudgene,analysis-pipeline
genepi/cloudgene,cloudgene-saas
ewels/clusterflow,clusterflow
ewels/clusterflow,bioinformatics
ewels/clusterflow,pipeline
ewels/clusterflow,bioinfomatics-pipeline
ewels/clusterflow,perl
mlcommons/ck,productivity
mlcommons/ck,automation
mlcommons/ck,reproducibility
mlcommons/ck,open-source
mlcommons/ck,machine-learning
mlcommons/ck,portability
mlcommons/ck,reusability
mlcommons/ck,collaboration
mlcommons/ck,modularity
mlcommons/ck,software-engineering
mlcommons/ck,mlperf
mlcommons/ck,artificial-intelligence
mlcommons/ck,platform
mlcommons/ck,scripting-language
mlcommons/ck,reproducible-research
mlcommons/ck,technology-transfer
sing-group/compi,computational-pipelines
sing-group/compi,workflow-engine
sing-group/compi,pipeline
sing-group/compi,java-framework
sing-group/compi,cli-application
sing-group/compi,pipeline-framework
bsc-wdc/compss,distributed-computing
bsc-wdc/compss,workflows
bsc-wdc/compss,java
bsc-wdc/compss,python
bsc-wdc/compss,c
bsc-wdc/compss,workflow-management-system
bsc-wdc/compss,pipeline-framework
bsc-wdc/compss,hpc
bsc-wdc/compss,docker
bsc-wdc/compss,singularity
bsc-wdc/compss,slurm
Consonance/consonance,java
Consonance/consonance,cloud
Consonance/consonance,aws-ec2
Consonance/consonance,azure
Consonance/consonance,openstack
Consonance/consonance,cwl
cortexlabs/cortex,machine-learning
cortexlabs/cortex,infrastructure
couler-proj/couler,cloud-native
couler-proj/couler,workflow-management
couler-proj/couler,machine-learning
couler-proj/couler,distributed-computing
couler-proj/couler,kubernetes
couler-proj/couler,workflow-engine
couler-proj/couler,argo-workflows
couler-proj/couler,tekton-pipelines
couler-proj/couler,apache-airflow
couler-proj/couler,unified-interface
couler-proj/couler,unified-api
couler-proj/couler,scheduler
couler-proj/couler,workflow-automation
couler-proj/couler,kubeflow
couler-proj/couler,python
AgnostiqHQ/covalent,hpc
AgnostiqHQ/covalent,workflow
AgnostiqHQ/covalent,workflow-automation
AgnostiqHQ/covalent,workflow-management
AgnostiqHQ/covalent,quantum-computing
AgnostiqHQ/covalent,hpc-applications
AgnostiqHQ/covalent,python
AgnostiqHQ/covalent,machine-learning
AgnostiqHQ/covalent,pipelines
AgnostiqHQ/covalent,covalent
AgnostiqHQ/covalent,orchestration
AgnostiqHQ/covalent,parallelization
AgnostiqHQ/covalent,machinelearning
AgnostiqHQ/covalent,machinelearning-python
AgnostiqHQ/covalent,quantum
AgnostiqHQ/covalent,quantum-machine-learning
AgnostiqHQ/covalent,data-science
AgnostiqHQ/covalent,data-pipeline
AgnostiqHQ/covalent,etl
AgnostiqHQ/covalent,deep-learning
MelbourneGenomics/cpipe,dont-move
broadinstitute/cromwell,workflow-execution
broadinstitute/cromwell,workflow
broadinstitute/cromwell,cloud
broadinstitute/cromwell,hpc
broadinstitute/cromwell,bioinformatics
broadinstitute/cromwell,executor
broadinstitute/cromwell,scala
broadinstitute/cromwell,docker
broadinstitute/cromwell,ga4gh
broadinstitute/cromwell,containers
broadinstitute/cromwell,wdl
broadinstitute/cromwell,workflow-description-language
broadinstitute/cromwell,application
joergen7/cuneiform,workflow-engine
joergen7/cuneiform,functional-programming
joergen7/cuneiform,distributed-computing
joergen7/cuneiform,erlang
joergen7/cuneiform,workflow
joergen7/cuneiform,bioinformatics
joergen7/cuneiform,machine-learning
joergen7/cuneiform,parallelization
joergen7/cuneiform,otp
yuch7/cwlexec,workflow
yuch7/cwlexec,lsf
yuch7/cwlexec,cwl
yuch7/cwlexec,java
common-workflow-language/cwltool,common-workflow-language
common-workflow-language/cwltool,cwl
common-workflow-language/cwltool,workflows
common-workflow-language/cwltool,containers
common-workflow-language/cwltool,science
common-workflow-language/cwltool,commonwl
common-workflow-language/cwltool,sciworkflows
caicloud/cyclone,continuous-integration
caicloud/cyclone,continuous-delivery
caicloud/cyclone,ci-cd
caicloud/cyclone,kubernetes
caicloud/cyclone,workflow
caicloud/cyclone,dag
caicloud/cyclone,ai-pipeline
cylc/cylc-flow,workflow-engine
cylc/cylc-flow,python
cylc/cylc-flow,metascheduler
cylc/cylc-flow,workflow-automation
cylc/cylc-flow,workflow-management
cylc/cylc-flow,cycling-workflows
cylc/cylc-flow,job-scheduler
cylc/cylc-flow,scheduling
cylc/cylc-flow,cylc
cylc/cylc-flow,scheduler
cylc/cylc-flow,hacktoberfest
cylc/cylc-flow,workflow
chanzuckerberg/czid-dag,genomics
chanzuckerberg/czid-dag,infectious-diseases
chanzuckerberg/czid-dag,idseq
dagster-io/dagster,data-pipelines
dagster-io/dagster,dagster
dagster-io/dagster,workflow
dagster-io/dagster,data-science
dagster-io/dagster,workflow-automation
dagster-io/dagster,python
dagster-io/dagster,scheduler
dagster-io/dagster,data-orchestrator
dagster-io/dagster,etl
dagster-io/dagster,analytics
dagster-io/dagster,data-engineering
dagster-io/dagster,mlops
dagster-io/dagster,orchestration
dagster-io/dagster,data-integration
dagster-io/dagster,metadata
dask/dask,dask
dask/dask,python
dask/dask,pydata
dask/dask,numpy
dask/dask,pandas
dask/dask,scikit-learn
dask/dask,scipy
dataform-co/dataform,data-pipelines
dataform-co/dataform,elt
dataform-co/dataform,data-engineering
dataform-co/dataform,business-intelligence
dataform-co/dataform,analytics
dataform-co/dataform,etl
dataform-co/dataform,hacktoberfest
datahub-project/datahub,metadata
datahub-project/datahub,linkedin
datahub-project/datahub,datahub
datahub-project/datahub,data-catalog
datahub-project/datahub,data-discovery
datajoint/datajoint-python,datajoint
datajoint/datajoint-python,scientific-computing
datajoint/datajoint-python,databases
datajoint/datajoint-python,data-analysis
datajoint/datajoint-python,pipeline-framework
datajoint/datajoint-python,python
datajoint/datajoint-python,relational-databases
datajoint/datajoint-python,relational-algebra
datajoint/datajoint-python,relational-model
datajoint/datajoint-python,mysql
datajoint/datajoint-python,data-pipelines
datajoint/datajoint-python,cloud-computing
datajoint/datajoint-python,s3
datajoint/datajoint-python,workflow-management
datalad/datalad,python
datalad/datalad,git-annex
datalad/datalad,data-storage
datalad/datalad,dataset
datalad/datalad,usable
datalad/datalad,closember
datashim-io/datashim,dataset-lifecycle-framework
datashim-io/datashim,noobaa
datashim-io/datashim,kubernetes
datashim-io/datashim,s3
datashim-io/datashim,nfs
datashim-io/datashim,csi
dbt-labs/dbt-core,dbt-viewpoint
dbt-labs/dbt-core,slack
dbt-labs/dbt-core,pypa
dbt-labs/dbt-core,data-modeling
dbt-labs/dbt-core,business-intelligence
dbt-labs/dbt-core,analytics
dbt-labs/dbt-core,elt
dspinellis/dgsh,pipeline
dspinellis/dgsh,shell
dspinellis/dgsh,unix
dspinellis/dgsh,unix-shell
treasure-data/digdag,digdag
dogtools/dog,go
dogtools/dog,automation
dogtools/dog,cli
dogtools/dog,task-runner
dogtools/dog,dogtools
pydoit/doit,python
pydoit/doit,build-tool
pydoit/doit,build-automation
pydoit/doit,task-runner
pydoit/doit,build-system
pydoit/doit,workflow-management
pydoit/doit,data-pipeline
pydoit/doit,workflow
pydoit/doit,workflow-automation
pydoit/doit,data-science
pydoit/doit,hacktoberfest
ropensci/drake,reproducibility
ropensci/drake,high-performance-computing
ropensci/drake,r
ropensci/drake,data-science
ropensci/drake,drake
ropensci/drake,makefile
ropensci/drake,pipeline
ropensci/drake,workflow
ropensci/drake,reproducible-research
ropensci/drake,rstats
ropensci/drake,r-package
ropensci/drake,ropensci
ropensci/drake,peer-reviewed
apache/drill,java
apache/drill,big-data
apache/drill,drill
apache/drill,sql
apache/drill,hive
apache/drill,hadoop
apache/drill,jdbc
apache/drill,parquet
ParkerLab/drmr,workload-automation
ParkerLab/drmr,tool
ParkerLab/drmr,slurm
ParkerLab/drmr,pbs
ParkerLab/drmr,pipeline
ParkerLab/drmr,software
iterative/dvc,data-science
iterative/dvc,machine-learning
iterative/dvc,reproducibility
iterative/dvc,data-version-control
iterative/dvc,git
iterative/dvc,developer-tools
iterative/dvc,collaboration
iterative/dvc,ai
iterative/dvc,python
iterative/dvc,hacktoberfest
LANL-Bioinformatics/EDGE,bioinformatics
LANL-Bioinformatics/EDGE,genomics
odpi/egeria,metadata-management
odpi/egeria,governance
odpi/egeria,data-governance
odpi/egeria,data-engineering
odpi/egeria,odpi-egeria
odpi/egeria,linux-foundation
odpi/egeria,odpi
odpi/egeria,hacktoberfest
odpi/egeria,java
odpi/egeria,egeria
Ensembl/ensembl-hive,ensembl
Ensembl/ensembl-hive,workflow-management-system
Ensembl/ensembl-hive,perl
Ensembl/ensembl-hive,java
Ensembl/ensembl-hive,python
Ensembl/ensembl-hive,mysql
Ensembl/ensembl-hive,sqlite
Ensembl/ensembl-hive,postgresql
Ensembl/ensembl-hive,high-performance-computing
Ensembl/ensembl-hive,lsf
Ensembl/ensembl-hive,sge
Ensembl/ensembl-hive,htcondor
Ensembl/ensembl-hive,pbs-pro
Ensembl/ensembl-hive,pipeline
Ensembl/ensembl-hive,pbspro
Ensembl/ensembl-hive,ehive
Ensembl/ensembl-hive,docker
Ensembl/ensembl-hive,docker-swarm
Ensembl/ensembl-hive,slurm
enso-org/enso,visual
enso-org/enso,language
enso-org/enso,functional
enso-org/enso,compiler
enso-org/enso,hybrid
enso-org/enso,enso
enso-org/enso,textual
enso-org/enso,interpreter
enso-org/enso,rts
enso-org/enso,jit
enso-org/enso,polyglot
enso-org/enso,graalvm
GenomiqueENS/eoulsan,rna-seq
GenomiqueENS/eoulsan,java
GenomiqueENS/eoulsan,cloud-computing-clusters
GenomiqueENS/eoulsan,analysis
GenomiqueENS/eoulsan,workflow-engine
GenomiqueENS/eoulsan,bioinformatics-pipeline
druths/xp,data-science
druths/xp,workflow
druths/xp,pipeline
druths/xp,research-tool
druths/xp,notebook
apache/flink,scala
apache/flink,java
apache/flink,big-data
apache/flink,flink
apache/flink,python
